Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Customer_Segments,Product_ID,Product_Name,Category,Region,State,City,Quantity,Unit_Price,Discount,Sales_Amount,Cost_Price,Profit,Payment_Mode,Delivery_Status,Supplier_Name,Supplier_Email,Stock_Left,Auto_Reorder,Reorder_Quantity
ORD1000,05-06-2025,06-06-2025,CUST860,Regina Johnson,Consumer,PROD7743,Juice Pack,Grocery,West,Florida,West Richardmouth,4,3240,20,10368,6982.04,3385.96,UPI,Pending,Smith-Mcdonald,michael40@moreno.com,23,No,0
ORD1001,05-06-2025,07-06-2025,CUST841,Cory Barrett,Consumer,PROD5803,Mouse,Electronics,South,Iowa,Seanfurt,6,3183,5,18143.1,10896.29,7246.81,UPI,Delivered,Blackburn and Sons,smithmeghan@ortega.info,7,Yes,35
ORD1002,26-05-2024,30-05-2024,CUST291,Luis Hawkins,Corporate,PROD9666,Rice Bag,Grocery,South,Wisconsin,West Amber,6,2198,20,10550.4,7003.05,3547.35,Credit Card,Delivered,"Pierce, Greene and Lee",keithlambert@soto.biz,32,No,0
ORD1003,14-10-2024,18-10-2024,CUST166,John Perkins,Consumer,PROD6543,Bookshelf,Furniture,South,Hawaii,North Jessicaport,5,4774,10,21483,15259,6224,Net Banking,Returned,Beard-Ramsey,robert45@marks-torres.org,0,Yes,20
ORD1004,07-06-2025,12-06-2025,CUST338,William Williams,Home Office,PROD2714,Laptop,Electronics,South,North Dakota,West Erictown,1,152,0,152,133.9,18.1,Cash,Cancelled,Hart-White,asanchez@simpson-barrett.com,0,Yes,34
ORD1005,02-08-2025,04-08-2025,CUST427,Nathan Nunez,Corporate,PROD4298,Snacks,Grocery,West,Iowa,Blackbury,1,4708,0,4708,3069.89,1638.11,Cash,Cancelled,Martin PLC,rodriguezcollin@martinez.net,28,No,0
ORD1006,26-06-2025,30-06-2025,CUST407,Amy Singh,Home Office,PROD3444,Laptop,Electronics,South,Kansas,Edwardside,5,2373,5,11271.75,9839.82,1431.93,UPI,Cancelled,Pitts-Price,bautistajason@taylor-ruiz.biz,16,No,0
ORD1007,22-09-2025,28-09-2025,CUST299,Mr. Bradley Smith,Home Office,PROD2850,Rice Bag,Grocery,North,Texas,Johnsonburgh,6,959,0,5754,4519.3,1234.7,Credit Card,Returned,Bryant-Villanueva,freemandarren@garcia.org,2,Yes,48
ORD1008,25-03-2025,27-03-2025,CUST464,Alexa Murphy,Corporate,PROD5508,Sugar,Grocery,North,New Jersey,West Erinshire,2,4443,5,8441.7,7303.59,1138.11,UPI,Cancelled,"Clark, Buck and Harper",jill63@higgins-reyes.net,44,No,0
ORD1009,21-02-2024,22-02-2024,CUST806,Sean Lopez,Corporate,PROD1055,Stapler,Office Supplies,South,Virginia,South Dalehaven,6,893,10,4822.2,3960.34,861.86,Credit Card,Cancelled,Arnold and Sons,tylerleonard@schmidt.com,35,No,0
ORD1010,14-05-2025,16-05-2025,CUST507,Daniel Chavez,Consumer,PROD1753,Office Chair,Furniture,West,California,New Dylanberg,9,3410,5,29155.5,17878.87,11276.63,Cash,Returned,Tucker-Barnes,burchtammy@daniel-fowler.info,22,No,0
ORD1011,15-07-2024,22-07-2024,CUST387,Shannon Mcknight,Consumer,PROD3284,Pen,Office Supplies,West,Michigan,South Keithbury,9,270,5,2308.5,1393.25,915.25,Credit Card,Cancelled,Taylor-Medina,maria54@williams.info,40,No,0
ORD1012,11-03-2024,18-03-2024,CUST253,Heather Black,Home Office,PROD7972,Dining Table,Furniture,East,Texas,Lindafort,6,125,10,675,457.07,217.93,Net Banking,Pending,"Smith, Miranda and Long",ljacobs@lawrence.com,21,No,0
ORD1013,26-05-2025,01-06-2025,CUST218,Morgan Buchanan,Corporate,PROD5092,Keyboard,Electronics,South,Kentucky,West Howardville,7,2134,10,13444.2,10185.9,3258.3,UPI,Returned,"Davis, Barker and Campbell",ihays@sullivan.com,36,No,0
ORD1014,11-08-2024,15-08-2024,CUST544,Jennifer Watson,Corporate,PROD6825,Dining Table,Furniture,South,Michigan,Sheliahaven,4,4058,10,14608.8,12153.13,2455.67,UPI,Delivered,Patterson Ltd,kelseycarlson@brooks.com,18,No,0
ORD1015,02-10-2024,07-10-2024,CUST312,Nicole Scott,Corporate,PROD9262,Mouse,Electronics,North,North Dakota,Frederickbury,2,620,10,1116,878.1,237.9,UPI,Cancelled,Deleon LLC,carpenternathan@moore.com,29,No,0
ORD1016,30-05-2024,01-06-2024,CUST138,Eric Mccoy,Home Office,PROD7222,Pen,Office Supplies,West,Rhode Island,South William,2,3789,20,6062.4,3851.41,2210.99,Net Banking,Pending,May-Powell,nancymartinez@black.info,50,No,0
ORD1017,15-06-2025,19-06-2025,CUST508,Nicholas Boyle,Home Office,PROD2096,Pen,Office Supplies,North,Hawaii,East Jennifer,2,1889,20,3022.4,2111.06,911.34,UPI,Pending,Wright Inc,lyonsteresa@wood.biz,45,No,0
ORD1018,07-07-2024,10-07-2024,CUST512,Cindy Baker,Home Office,PROD8175,Dining Table,Furniture,East,Vermont,New Patricia,4,4424,20,14156.8,8912.38,5244.42,Net Banking,Cancelled,Marquez PLC,doylejerome@strickland.org,5,Yes,30
